numero,nome,entrancia1,cargo,inicio,entrancia2,anterior,geral,cargo_criminal
346,Maria Letícia Pozzi Buassi,Entrancia Final,4ª Vara Criminal da Comarca de São José do Rio Preto,26/04/2007 00:00:00,"10A
                        10M 16D",8A 11M 19D,27A 6M 18D,TRUE
347,Wellington José Prates,Entrancia Final,2ª Vara Criminal da Comarca de Araçatuba,26/04/2007 00:00:00,"10A
                        10M 16D",8A 4M 16D,27A 2M 3D,TRUE
350,Claudio do Prado Amaral,Entrancia Final,2ª Vara Criminal da Comarca de São Carlos,26/04/2007 00:00:00,"10A
                        10M 16D",12A 1M 17D,27A 2M 3D,TRUE
356,Sueli Zeraik de Oliveira Armani,Entrancia Final,1ª Vara das Execuções Criminais da Comarca de Taubaté,26/04/2007 00:00:00,"10A
                        10M 16D",8A 6M 13D,25A 8M 20D,TRUE
357,Lúcio Alberto Eneas da Silva Ferreira,Entrancia Final,4ª Vara Criminal da Comarca de Ribeirão Preto,26/04/2007 00:00:00,"10A
                        10M 16D",8A 8M 13D,25A 8M 20D,TRUE
361,Antonio de Oliveira Angrisani Filho,Entrancia Final,27ª Vara Criminal - Capital,26/04/2007 00:00:00,"10A
                        10M 16D",8A 10M 1D,24A 7M 26D,TRUE
362,Jose Fernando Azevedo Minhoto,Entrancia Final,4ª Vara Criminal da Comarca de Osasco,26/04/2007 00:00:00,"10A
                        10M 16D",8A 8M 13D,24A 7M 26D,TRUE
366,Cesar Luís de Souza Pereira,Entrancia Final,4ª Vara Criminal da Comarca de Sorocaba,26/04/2007 00:00:00,"10A
                        10M 16D",8A 10M 1D,24A 7M 26D,TRUE
368,Carlos Alberto Corrêa de Almeida Oliveira,Entrancia Final,25ª Vara Criminal - Capital,26/04/2007 00:00:00,"10A
                        10M 16D",8A 6M 13D,24A 7M 26D,TRUE
373,Flavio de Oliveira Cesar,Entrancia Final,1ª Vara Criminal da Comarca de Taubaté,26/04/2007 00:00:00,"10A
                        10M 16D",9A 4M 15D,24A 7M 26D,TRUE
378,Patrícia Helena Hehl Forjaz de Toledo,Entrancia Final,2ª Vara Criminal da Comarca de Diadema,26/04/2007 00:00:00,"10A
                        10M 16D",8A 10M 1D,23A 11M 14D,TRUE
379,Marcelo Matias Pereira,Entrancia Final,Juiz de Direito Titular II da 10ª Vara Criminal - Capital,26/04/2007 00:00:00,"10A
                        10M 16D",9A 4M 15D,23A 11M 14D,TRUE
380,Rogério Danna Chaib,Entrancia Final,1ª Vara Criminal da Comarca de Limeira,26/04/2007 00:00:00,"10A
                        10M 16D",8A 4M 16D,23A 11M 14D,TRUE
382,Ilona Marcia Bittencourt Cruz,Entrancia Final,5ª Vara Criminal da Comarca de Ribeirão Preto,26/04/2007 00:00:00,"10A
                        10M 16D",9A 1M 14D,23A 11M 14D,TRUE
389,Maria Cecília Leone,Entrancia Final,10ª Vara Criminal - Capital,26/04/2007 00:00:00,"10A
                        10M 16D",9A 5M 30D,23A 1M 16D,TRUE
391,Daniela Martins de Castro Mariani Cavallanti,Entrancia Final,2ª Vara Criminal - Capital,26/04/2007 00:00:00,"10A
                        10M 16D",10A 1M 7D,23A 1M 16D,TRUE
396,Claudia Maria Carbonari de Faria,Entrancia Final,"Vara do Júri, das Execuções Criminais, da Infância e da Juventude e do Idoso da Comarca de Diadema",26/04/2007 00:00:00,"10A
                        10M 16D",8A 10M 1D,22A 2M 14D,TRUE
403,Paulo Eduardo de Almeida Sorci,Entrancia Final,5ª Vara das Execuções Criminais - Capital,26/04/2007 00:00:00,"10A
                        10M 16D",9A 4M 15D,22A 2M 14D,TRUE
405,Érika Christina de Lacerda Brandão Raskin,Entrancia Final,1ª Vara das Execuções Criminais da Comarca de Campinas,26/04/2007 00:00:00,"10A
                        10M 16D",9A 2M 14D,22A 2M 14D,TRUE
413,José Guilherme Di Rienzo Marrey,Entrancia Final,6ª Vara Criminal da Comarca de Campinas,26/04/2007 00:00:00,"10A
                        9M 16D",9A 5M 30D,22A 1M 14D,TRUE
417,Emerson Ueocka,Entrancia Final,3ª Vara Criminal da Comarca de Presidente Prudente,19/07/2007 00:00:00,"10A
                        7M 23D",8A 2M 20D,30A 9M 27D,TRUE
419,Jane Rute Nalini Anderson,Entrancia Final,3ª Vara Criminal da Comarca de Jundiaí,19/07/2007 00:00:00,"10A
                        7M 23D",7A 8M 28D,29A 2M 12D,TRUE
427,Izabel Irlanda Castro Correia Araújo,Entrancia Final,15ª Vara Criminal - Capital,19/07/2007 00:00:00,"10A
                        7M 23D",7A 8M 28D,27A 6M 18D,TRUE
428,Eugênio Augusto Clementi Júnior,Entrancia Final,2ª Vara Criminal da Comarca de Americana,19/07/2007 00:00:00,"10A
                        7M 23D",11A 1M 12D,27A 6M 18D,TRUE
429,André Carlos de Oliveira,Entrancia Final,1ª Vara Criminal da Comarca de Americana,19/07/2007 00:00:00,"10A
                        7M 23D",13A 7M 5D,27A 6M 18D,TRUE
430,Guacy Sibille Leite,Entrancia Final,3ª Vara Criminal da Comarca de Ribeirão Preto,19/07/2007 00:00:00,"10A
                        7M 23D",8A 2M 20D,27A 6M 18D,TRUE
431,Silvana Amneris Rôlo Pereira Borges,Entrancia Final,6ª Vara Criminal da Comarca de Santos,19/07/2007 00:00:00,"10A
                        7M 23D",8A 1M 2D,27A 2M 3D,TRUE
435,Andréa Barreira Brandão,Entrancia Final,3ª Vara das Execuções Criminais - Capital,19/07/2007 00:00:00,"10A
                        7M 23D",9A 4M 7D,25A 8M 20D,TRUE
437,Isabel Cristina Alonso Bezerra dos Santos,Entrancia Final,2ª Vara do Júri e das Execuções Criminais da Comarca de Ribeirão Preto,19/07/2007 00:00:00,"10A
                        7M 23D",8A 4M 1D,24A 7M 26D,TRUE
438,Cristina Elena Varela Werlang,Entrancia Final,1ª Vara Criminal do Foro Regional do Tatuapé,19/07/2007 00:00:00,"10A
                        7M 23D",11A 7M 12D,24A 7M 26D,TRUE
443,Ana Lucia Siqueira de Figueiredo,Entrancia Final,1ª Vara Criminal do Foro Regional de Santo Amaro,19/07/2007 00:00:00,"10A
                        7M 23D",7A 10M 10D,24A 7M 26D,TRUE
445,André Luiz de Macedo,Entrancia Final,3ª Vara Criminal da Comarca de São Carlos,19/07/2007 00:00:00,"10A
                        7M 23D",7A 10M 10D,24A 7M 26D,TRUE
446,Luciane Jabur Mouchaloite Figueiredo,Entrancia Final,Juíza de Direito Titular II da 21ª Vara Criminal - Capital,19/07/2007 00:00:00,"10A
                        7M 23D",9A 7M 8D,24A 7M 26D,TRUE
451,Cynthia Torres Cristofaro,Entrancia Final,23ª Vara Criminal - Capital,19/07/2007 00:00:00,"10A
                        7M 23D",8A 2M 20D,23A 11M 14D,TRUE
452,Patrícia Suárez Pae Kim,Entrancia Final,1ª Vara Criminal da Comarca de Campinas,19/07/2007 00:00:00,"10A
                        7M 23D",7A 4M 3D,23A 11M 14D,TRUE
455,José Rodrigues Arimatéa,Entrancia Final,"Vara do Júri, das Execuções Criminais e da Infância e da Juventude da Comarca de Franca",19/07/2007 00:00:00,"10A
                        7M 23D",7A 10M 10D,23A 1M 16D,TRUE
459,ROGERIO ALCAZAR,Entrancia Final,4ª Vara das Execuções Criminais - Capital,19/07/2007 00:00:00,"10A
                        7M 23D",9A 2M 12D,23A 1M 16D,TRUE
471,Nidea Rita Coltro Sorci,Entrancia Final,2ª Vara das Execuções Criminais - Capital,19/07/2007 00:00:00,"10A
                        7M 23D",9A 5M 7D,22A 2M 14D,TRUE
476,José Loureiro Sobrinho,Entrancia Final,1ª Vara Criminal da Comarca de São José dos Campos,19/07/2007 00:00:00,"10A
                        7M 23D",7A 1M 4D,21A 0M 0D,TRUE
484,Luís Guilherme Vaz de Lima Cardinale,Entrancia Final,2ª Vara Criminal da Comarca de São Vicente,19/07/2007 00:00:00,"10A
                        7M 23D",7A 5M 9D,20A 3M 21D,TRUE
488,Luiz Augusto Barrichello Neto,Entrancia Final,2ª Vara Criminal da Comarca de Limeira,19/07/2007 00:00:00,"10A
                        7M 23D",7A 8M 28D,20A 3M 21D,TRUE
491,Cecilia Pinheiro da Fonseca,Entrancia Final,3ª Vara Criminal - Capital,19/07/2007 00:00:00,"10A
                        7M 23D",7A 7M 3D,20A 3M 21D,TRUE
501,Durval José de Moraes Leme,Entrancia Final,1ª Vara Criminal da Comarca de Rio Claro,27/09/2007 00:00:00,"10A
                        5M 15D",6A 2M 30D,29A 2M 12D,TRUE
503,Walter Luiz Esteves de Azevedo,Entrancia Final,5ª Vara Criminal da Comarca de Santos,27/09/2007 00:00:00,"10A
                        5M 15D",3A 11M 4D,28A 9M 5D,TRUE
504,Zurich Oliva Costa Netto,Entrancia Final,Vara das Execuções Criminais da Comarca de São José do Rio Preto,27/09/2007 00:00:00,"10A
                        5M 15D",6A 3M 27D,26A 3M 23D,TRUE
513,Edegar de Sousa Castro,Entrancia Final,3ª Vara Criminal da Comarca de São Bernardo do Campo,27/09/2007 00:00:00,"10A
                        5M 15D",5A 10M 19D,23A 1M 16D,TRUE
516,Teresa Cristina Cabral Santana,Entrancia Final,2ª Vara Criminal da Comarca de Santo André,27/09/2007 00:00:00,"10A
                        5M 15D",6A 2M 30D,22A 2M 14D,TRUE
523,Fernanda Galizia Noriega,Entrancia Final,28ª Vara Criminal - Capital,27/09/2007 00:00:00,"10A
                        5M 15D",8A 3M 10D,21A 0M 0D,TRUE
531,Helio Narvaez,Entrancia Final,Juiz de Direito Titular II da 8ª Vara Criminal - Capital,27/09/2007 00:00:00,"10A
                        5M 15D",6A 6M 12D,19A 8M 14D,TRUE
532,Clávio Kenji Adati,Entrancia Final,Vara do Juizado Especial Criminal da Comarca de Guarulhos,27/09/2007 00:00:00,"10A
                        5M 15D",6A 4M 24D,19A 8M 14D,TRUE
538,Maria Domitila Prado Manssur,Entrancia Final,Juíza de Direito Titular II da 16ª Vara Criminal - Capital,27/09/2007 00:00:00,"10A
                        5M 15D",7A 6M 11D,19A 8M 14D,TRUE
540,Roberto Brandão Galvão Filho,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Itapetininga,27/09/2007 00:00:00,"10A
                        5M 15D",6A 4M 24D,19A 8M 14D,TRUE
549,Carlos Gutemberg de Santis Cunha,Entrancia Final,4ª Vara Criminal da Comarca de São José dos Campos,27/09/2007 00:00:00,"10A
                        5M 15D",4A 6M 0D,19A 4M 5D,TRUE
550,Danielle Martins Cardoso,Entrancia Final,3ª Vara Criminal da Comarca de Osasco,27/09/2007 00:00:00,"10A
                        5M 15D",4A 6M 0D,19A 4M 5D,TRUE
551,Alexandre Betini,Entrancia Final,Vara do Júri e das Execuções Criminais da Comarca de Santos,27/09/2007 00:00:00,"10A
                        5M 15D",4A 0M 16D,19A 4M 5D,TRUE
556,Fábio Aguiar Munhoz Soares,Entrancia Final,17ª Vara Criminal - Capital,27/09/2007 00:00:00,"10A
                        5M 15D",6A 2M 30D,19A 4M 5D,TRUE
560,Rodrigo Pares Andreucci,Entrancia Final,3ª Vara Criminal da Comarca de Piracicaba,27/09/2007 00:00:00,"10A
                        5M 15D",3A 9M 16D,18A 11M 16D,TRUE
569,Clovis Elias Thamê,Entrancia Final,2ª Vara Criminal da Comarca de Jundiaí,29/11/2007 00:00:00,"10A
                        3M 14D",2A 9M 5D,30A 9M 27D,TRUE
571,Adriana Albergueti Albano,Entrancia Final,1ª Vara Criminal da Comarca de Araraquara,29/11/2007 00:00:00,"10A
                        3M 14D",2A 11M 13D,25A 8M 20D,TRUE
573,Silvia Estela Gigena,Entrancia Final,2ª Vara Criminal da Comarca de Araraquara,29/11/2007 00:00:00,"10A
                        3M 14D",3A 7M 14D,24A 7M 26D,TRUE
576,José Roberto Bernardi Liberal,Entrancia Final,Vara do Júri e das Execuções Criminais da Comarca de Araraquara,29/11/2007 00:00:00,"10A
                        3M 14D",3A 5M 26D,23A 11M 14D,TRUE
598,André Rossi,Entrancia Final,2ª Vara Criminal da Comarca de Guarujá,29/11/2007 00:00:00,"10A
                        3M 14D",3A 8M 18D,19A 4M 5D,TRUE
600,Milton de Oliveira Sampaio Neto,Entrancia Final,Vara do Júri e das Execuções Criminais da Comarca de São José dos Campos,29/11/2007 00:00:00,"10A
                        3M 14D",3A 8M 18D,19A 4M 5D,TRUE
601,Alessandro Viana Vieira de Paula,Entrancia Final,Vara das Execuções Criminais da Comarca de Itapetininga,29/11/2007 00:00:00,"10A
                        3M 14D",3A 7M 14D,19A 4M 5D,TRUE
605,André Gustavo Cividanes Furlan,Entrancia Final,2ª Vara Criminal da Comarca de São Bernardo do Campo,29/11/2007 00:00:00,"10A
                        3M 14D",4A 8M 2D,19A 4M 5D,TRUE
606,Davi Marcio Prado Silva,Entrancia Final,1ª Vara das Execuções Criminais da Comarca de Bauru,29/11/2007 00:00:00,"10A
                        3M 14D",3A 4M 28D,19A 4M 5D,TRUE
612,Maria Lucinda da Costa,Entrancia Final,1ª Vara Criminal da Comarca de Santo André,29/11/2007 00:00:00,"10A
                        3M 14D",2A 9M 5D,18A 11M 16D,TRUE
614,Fernando Luiz Batalha Navajas,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Itaquaquecetuba,29/11/2007 00:00:00,"10A
                        3M 14D",2A 9M 5D,18A 11M 16D,TRUE
624,Carlos José Zulian,Entrancia Final,1ª Vara Criminal - Capital,10/04/2008 00:00:00,"9A
                        11M 4D",9A 4M 0D,24A 7M 26D,TRUE
627,Andrea Ribeiro Borges,Entrancia Final,1ª Vara Criminal e de Violência Doméstica e Familiar contra a Mulher da Comarca de Itu,10/04/2008 00:00:00,"9A
                        11M 4D",9A 4M 0D,23A 1M 16D,TRUE
628,João Carlos Germano,Entrancia Final,3ª Vara Criminal da Comarca de Taubaté,10/04/2008 00:00:00,"9A
                        11M 4D",3A 4M 30D,23A 1M 16D,TRUE
633,Fernanda Souza Pereira de Lima Carvalho,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de São Vicente,10/04/2008 00:00:00,"9A
                        11M 4D",3A 0M 10D,20A 3M 21D,TRUE
646,Beatriz Afonso Pascoal Queiroz,Entrancia Final,3ª Vara Criminal da Comarca de São José dos Campos,10/04/2008 00:00:00,"9A
                        11M 4D",3A 3M 25D,18A 11M 16D,TRUE
648,Lucas Tambor Bueno,Entrancia Final,4ª Vara Criminal da Comarca de Santo André,10/04/2008 00:00:00,"9A
                        11M 4D",2A 10M 11D,18A 6M 11D,TRUE
650,Renata Biagioni,Entrancia Final,Vara das Execuções Criminais da Comarca de Marília,10/04/2008 00:00:00,"9A
                        11M 4D",2A 9M 11D,18A 6M 11D,TRUE
654,Cibele Frigi Rodrigues Rizzi,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Rio Claro,03/07/2008 00:00:00,"9A
                        8M 11D",2A 9M 18D,17A 5M 14D,TRUE
655,Daniela Mie Murata,Entrancia Final,3ª Vara Criminal da Comarca de Limeira,03/07/2008 00:00:00,"9A
                        8M 11D",2A 10M 22D,17A 5M 14D,TRUE
664,Carla dos Santos Fullin,Entrancia Final,2ª Vara das Execuções Criminais da Comarca de Campinas,19/02/2009 00:00:00,"9A
                        0M 23D",3A 2M 26D,20A 3M 21D,TRUE
665,Atis de Araujo Oliveira,Entrancia Final,2ª Vara das Execuções Criminais da Comarca de Presidente Prudente,19/02/2009 00:00:00,"9A
                        0M 23D",3A 6M 8D,19A 8M 14D,TRUE
666,Antonio Carlos Pinheiro de Freitas,Entrancia Final,1ª Vara Criminal da Comarca de Catanduva,19/02/2009 00:00:00,"9A
                        0M 23D",5A 5M 8D,19A 4M 5D,TRUE
667,Vinicius de Toledo Piza Peluso,Entrancia Final,1ª Vara Criminal da Comarca de Praia Grande,19/02/2009 00:00:00,"9A
                        0M 23D",3A 10M 19D,19A 4M 5D,TRUE
669,Daniele Mendes de Melo,Entrancia Final,2ª Vara Criminal da Comarca de Bauru,19/02/2009 00:00:00,"9A
                        0M 23D",3A 2M 26D,19A 4M 5D,TRUE
670,Telma Berkelmans dos Santos,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Barueri,19/02/2009 00:00:00,"9A
                        0M 23D",3A 6M 8D,19A 4M 5D,TRUE
672,João Luciano Sales do Nascimento,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Praia Grande,19/02/2009 00:00:00,"9A
                        0M 23D",3A 6M 8D,18A 11M 16D,TRUE
679,Gerdinaldo Quichaba Costa,Entrancia Final,"Vara do Júri, das Execuções Criminais e da Infância e da Juventude da Comarca de Americana",19/02/2009 00:00:00,"9A
                        0M 23D",3A 6M 8D,14A 9M 26D,TRUE
680,Ricardo Tseng Kuei Hsu,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Suzano,19/02/2009 00:00:00,"9A
                        0M 23D",3A 9M 22D,14A 9M 26D,TRUE
684,Sergio Araújo Gomes,Entrancia Final,Vara do Juizado Especial Criminal da Comarca de Campinas,03/09/2009 00:00:00,"8A
                        6M 11D",5A 4M 19D,27A 2M 3D,TRUE
686,José Wagner Parrão Molina,Entrancia Final,Vara do Juizado Especial Criminal da Comarca de Presidente Prudente,03/09/2009 00:00:00,"8A
                        6M 11D",4A 0M 23D,24A 7M 26D,TRUE
690,Gisele de Castro Catapano,Entrancia Final,1ª Vara Criminal da Comarca de Osasco,03/09/2009 00:00:00,"8A
                        6M 11D",6A 5M 7D,23A 1M 16D,TRUE
699,Max Gouvea Gerth,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Taubaté,03/09/2009 00:00:00,"8A
                        6M 11D",4A 0M 23D,18A 11M 16D,TRUE
704,Marcos Augusto Barbosa dos Reis,Entrancia Final,1ª Vara Criminal da Comarca de Jacareí,03/09/2009 00:00:00,"8A
                        6M 11D",3A 9M 10D,17A 5M 14D,TRUE
705,Adeilson Ferreira Negri,Entrancia Final,2ª Vara das Execuções Criminais da Comarca de Araçatuba,03/09/2009 00:00:00,"8A
                        6M 11D",3A 10M 7D,14A 9M 26D,TRUE
710,Ettore Geraldo Avolio,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Piracicaba,04/02/2011 00:00:00,"7A
                        1M 10D",5A 4M 20D,24A 7M 26D,TRUE
714,Sylvio Ribeiro de Souza Neto,Entrancia Final,2ª Vara Criminal da Comarca de Ribeirão Preto,04/02/2011 00:00:00,"7A
                        1M 10D",5A 4M 20D,24A 7M 26D,TRUE
717,Ana Claudia Madeira de Oliveira,Entrancia Final,1ª Vara Criminal da Comarca de Piracicaba,04/02/2011 00:00:00,"7A
                        1M 10D",5A 4M 20D,23A 1M 16D,TRUE
718,Wania Regina Gonçalves da Cunha,Entrancia Final,2ª Vara das Execuções Criminais da Comarca de Taubaté,04/02/2011 00:00:00,"7A
                        1M 10D",5A 2M 11D,22A 2M 14D,TRUE
719,Nelson Augusto Bernardes de Souza,Entrancia Final,3ª Vara Criminal da Comarca de Campinas,04/02/2011 00:00:00,"7A
                        1M 10D",5A 5M 24D,22A 2M 14D,TRUE
720,Sérgio Lazzareschi de Mesquita,Entrancia Final,3ª Vara Criminal da Comarca de Rio Claro,04/02/2011 00:00:00,"7A
                        1M 10D",5A 2M 11D,22A 2M 14D,TRUE
721,Elia Kinosita Bulman,Entrancia Final,Vara do Júri e das Execuções Criminais da Comarca de Osasco,04/02/2011 00:00:00,"7A
                        1M 10D",8A 1M 30D,20A 3M 21D,TRUE
724,Alessandra Regina Ramos Rodrigues Bisognin,Entrancia Final,2ª Vara Criminal do Foro Regional de Santo Amaro,04/02/2011 00:00:00,"7A
                        1M 10D",7A 7M 12D,19A 8M 14D,TRUE
728,Maria de Fatima Guimarães Pimentel de Lima,Entrancia Final,1ª Vara Criminal da Comarca de Guarulhos,04/02/2011 00:00:00,"7A
                        1M 10D",5A 3M 8D,19A 8M 14D,TRUE
732,Márcio Lucio Falavigna Sauandag,Entrancia Final,22ª Vara Criminal - Capital,04/02/2011 00:00:00,"7A
                        1M 10D",7A 7M 12D,19A 4M 5D,TRUE
739,Tânia Magalhães Avelar Moreira da Silveira,Entrancia Final,1ª Vara Criminal do Foro Regional do Jabaquara,04/02/2011 00:00:00,"7A
                        1M 10D",7A 8M 20D,18A 11M 16D,TRUE
748,Walter Ariette dos Santos,Entrancia Final,"Vara do Júri, das Execuções Criminais e da Infância e Juventude da Comarca de Rio Claro",05/05/2011 00:00:00,"6A
                        10M 9D",18A 10M 3D,28A 4M 13D,TRUE
752,Sonia Nazaré Fernandes Fraga,Entrancia Final,Juíza de Direito Titular II da 24ª Vara Criminal - Capital,05/05/2011 00:00:00,"6A
                        10M 9D",12A 4M 25D,22A 2M 14D,TRUE
756,Augusto Antonini,Entrancia Final,Juiz de Direito Titular II da 28ª Vara Criminal - Capital,05/05/2011 00:00:00,"6A
                        10M 9D",6A 2M 11D,20A 3M 21D,TRUE
757,Flavia de Cassia Gonzales de Oliveira,Entrancia Final,2ª Vara Criminal da Comarca de Piracicaba,05/05/2011 00:00:00,"6A
                        10M 9D",11A 4M 19D,20A 3M 21D,TRUE
768,Margarete Pellizari,Entrancia Final,2ª Vara Criminal da Comarca de Sorocaba,05/05/2011 00:00:00,"6A
                        10M 9D",11A 2M 25D,19A 4M 5D,TRUE
772,Luiz Guilherme Cursino de Moura Santos,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Pindamonhangaba,05/05/2011 00:00:00,"6A
                        10M 9D",5A 5M 11D,19A 4M 5D,TRUE
777,Eva Lôbo Chaib Dias Jorge,Entrancia Final,12ª Vara Criminal - Capital,05/05/2011 00:00:00,"6A
                        10M 9D",6A 2M 11D,18A 11M 16D,TRUE
791,Alceu Corrêa Junior,Entrancia Final,2ª Vara Criminal da Comarca de Catanduva,04/08/2011 00:00:00,"6A
                        7M 10D",12A 4M 17D,22A 2M 14D,TRUE
792,José Eduardo da Costa,Entrancia Final,1ª Vara Criminal da Comarca de Indaiatuba,04/08/2011 00:00:00,"6A
                        7M 10D",7A 9M 12D,21A 0M 0D,TRUE
802,Marise Terra Pinto Bourgogne de Almeida,Entrancia Final,5ª Vara Criminal da Comarca de São José dos Campos,04/08/2011 00:00:00,"6A
                        7M 10D",7A 10M 24D,19A 4M 5D,TRUE
803,Marcus Cunha Rodrigues,Entrancia Final,2ª Vara Criminal da Comarca de Sumaré,04/08/2011 00:00:00,"6A
                        7M 10D",5A 8M 11D,18A 11M 16D,TRUE
805,Milena Dias,Entrancia Final,Vara do Júri e das Execuções Criminais da Comarca de Santo André,04/08/2011 00:00:00,"6A
                        7M 10D",6A 5M 11D,18A 11M 16D,TRUE
811,Caio Ferraz de Camargo Lopasso,Entrancia Final,2ª Vara Criminal da Comarca de Guarulhos,04/08/2011 00:00:00,"6A
                        7M 10D",6A 0M 0D,17A 5M 14D,TRUE
813,Renata Sanchez Guidugli Gusmão,Entrancia Final,Vara do Juizado Especial Criminal da Comarca de Santos,04/08/2011 00:00:00,"6A
                        7M 10D",5A 8M 11D,17A 5M 14D,TRUE
817,Marcelo Vieira,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Limeira,04/08/2011 00:00:00,"6A
                        7M 10D",5A 10M 20D,14A 9M 26D,TRUE
819,Marcos Alexandre Santos Ambrogi,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Mauá,04/08/2011 00:00:00,"6A
                        7M 10D",5A 9M 8D,14A 9M 26D,TRUE
820,Fernando Martinho de Barros Penteado,Entrancia Final,Vara do Júri e das Execuções Criminais da Comarca de São Bernardo do Campo,04/08/2011 00:00:00,"6A
                        7M 10D",6A 2M 5D,14A 9M 26D,TRUE
822,Fernando Augusto Andrade Conceição,Entrancia Final,2ª Vara Criminal da Comarca de Suzano,04/08/2011 00:00:00,"6A
                        7M 10D",5A 9M 8D,13A 8M 24D,TRUE
827,Richard Francisco Chequini,Entrancia Final,Juiz de Direito Titular II da 20ª Vara Criminal - Capital,27/10/2011 00:00:00,"6A
                        4M 15D",6A 2M 16D,20A 3M 21D,TRUE
832,Fernanda Teixeira Salviano da Rocha,Entrancia Final,2ª Vara Criminal da Comarca de Taubaté,27/10/2011 00:00:00,"6A
                        4M 15D",6A 2M 16D,19A 8M 14D,TRUE
834,Suzana Jorge de Mattia Ihara,Entrancia Final,1ª Vara Criminal do Foro Regional de Santana,27/10/2011 00:00:00,"6A
                        4M 15D",6A 2M 16D,19A 4M 5D,TRUE
839,Valdir Ricardo Lima Pompêo Marinho,Entrancia Final,2ª Vara Criminal da Comarca de Santos,27/10/2011 00:00:00,"6A
                        4M 15D",5A 11M 3D,18A 11M 16D,TRUE
845,Hélio Villaça Furukawa,Entrancia Final,2ª Vara Criminal da Comarca de Itu,27/10/2011 00:00:00,"6A
                        4M 15D",5A 5M 9D,14A 9M 26D,TRUE
851,André Luís Bastos,Entrancia Final,1ª Vara Criminal da Comarca de Itapetininga,29/03/2012 00:00:00,"5A
                        11M 14D",5A 3M 30D,19A 4M 5D,TRUE
857,Glaucio Roberto Brittes de Araujo,Entrancia Final,4ª Vara Criminal da Comarca de Guarulhos,29/03/2012 00:00:00,"5A
                        11M 14D",6A 6M 14D,18A 11M 16D,TRUE
858,Jarbas Luiz dos Santos,Entrancia Final,3ª Vara Criminal da Comarca de Santo André,29/03/2012 00:00:00,"5A
                        11M 14D",6A 9M 30D,18A 11M 16D,TRUE
866,Maria Fernanda Belli,Entrancia Final,Juíza de Direito Titular II da 1ª Vara Criminal - Capital,29/03/2012 00:00:00,"5A
                        11M 14D",6A 11M 1D,14A 9M 26D,TRUE
871,Hélio Benedini Ravagnani,Entrancia Final,2ª Vara Criminal da Comarca de Sertãozinho,29/03/2012 00:00:00,"5A
                        11M 14D",5A 10M 11D,13A 8M 24D,TRUE
873,Cláudio Augusto Saad Abujamra,Entrancia Final,3ª Vara Criminal da Comarca de Bauru,11/06/2012 00:00:00,"5A
                        9M 3D",13A 6M 1D,23A 11M 14D,TRUE
877,José Tadeu Lopes de Oliveira,Entrancia Final,3ª Vara Criminal da Comarca de Guarulhos,11/06/2012 00:00:00,"5A
                        9M 3D",6A 7M 15D,20A 3M 21D,TRUE
881,Emerson Tadeu Pires de Camargo,Entrancia Final,Vara do Júri e das Execuções Criminais da Comarca de Sorocaba,11/06/2012 00:00:00,"5A
                        9M 3D",8A 6M 0D,19A 4M 5D,TRUE
882,Aristóteles de Alencar Sampaio,Entrancia Final,1ª Vara Criminal da Comarca de Sumaré,11/06/2012 00:00:00,"5A
                        9M 3D",6A 0M 24D,19A 4M 5D,TRUE
883,Luciana Piovesan,Entrancia Final,Juíza de Direito Titular II da 27ª Vara Criminal - Capital,11/06/2012 00:00:00,"5A
                        9M 3D",6A 10M 0D,19A 4M 5D,TRUE
884,Luiz Antonio Cunha,Entrancia Final,Vara do Júri e das Execuções Criminais da Comarca de Piracicaba,11/06/2012 00:00:00,"5A
                        9M 3D",9A 2M 22D,18A 11M 16D,TRUE
885,Carlos Eduardo Lora Franco,Entrancia Final,Juiz de Direito Titular II da 3ª Vara Criminal - Capital,11/06/2012 00:00:00,"5A
                        9M 3D",6A 8M 27D,18A 11M 16D,TRUE
892,Italo Morelle,Entrancia Final,11ª Vara Criminal - Capital,13/12/2012 00:00:00,"5A
                        3M 1D",12A 8M 27D,24A 7M 26D,TRUE
896,Luis Guilherme Pião,Entrancia Final,2ª Vara Criminal da Comarca de São José do Rio Preto,13/12/2012 00:00:00,"5A
                        3M 1D",7A 0M 19D,18A 6M 11D,TRUE
904,Priscila Devechi Ferraz Maia,Entrancia Final,5ª Vara Criminal da Comarca de Guarulhos,13/12/2012 00:00:00,"5A
                        3M 1D",6A 5M 14D,13A 8M 24D,TRUE
