numero,nome,entrancia1,cargo,inicio,entrancia2,anterior,geral,cargo_criminal
266,Alexandre Rodrigues Ferreira,Entrancia Intermediária,3ª Vara Criminal da Comarca de Assis,27/10/2011 00:00:00,"6A
                        4M 15D",2A 0M 12D,8A 8M 27D,TRUE
279,Denise Gomes Bezerra Mota,Entrancia Intermediária,1ª Vara Criminal da Comarca de Guarujá,29/03/2012 00:00:00,"5A
                        11M 14D",4A 4M 0D,11A 2M 9D,TRUE
280,Patrícia de Assis Ferreira Braguini,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Itapecerica da Serra,29/03/2012 00:00:00,"5A
                        11M 14D",3A 1M 24D,10A 6M 18D,TRUE
286,Eduardo Messias Altemani,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Poá,29/03/2012 00:00:00,"5A
                        11M 14D",2A 11M 27D,9A 7M 13D,TRUE
288,Jair Antonio Pena Junior,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Avaré,29/03/2012 00:00:00,"5A
                        11M 14D",2A 3M 19D,8A 8M 27D,TRUE
297,Ana Virginia Mendes Veloso Cardoso,Entrancia Intermediária,2ª Vara Criminal da Comarca de Jaú,11/06/2012 00:00:00,"5A
                        9M 3D",4A 6M 13D,11A 6M 25D,TRUE
301,Alexandre Levy Perrucci,Entrancia Intermediária,Vara Criminal da Comarca de Pindamonhangaba,11/06/2012 00:00:00,"5A
                        9M 3D",4A 6M 13D,11A 2M 9D,TRUE
321,Rafael Pavan de Moraes Filgueira,Entrancia Intermediária,Vara Criminal da Comarca de Araras,13/12/2012 00:00:00,"5A
                        3M 1D",4A 8M 3D,11A 6M 25D,TRUE
347,Arnaldo Luiz Zasso Valderrama,Entrancia Intermediária,1ª Vara Criminal da Comarca de Fernandópolis,13/12/2012 00:00:00,"5A
                        3M 1D",0A 8M 14D,8A 8M 27D,TRUE
367,Paulo Rogério Malvezzi,Entrancia Intermediária,Vara Criminal da Comarca de Mogi Guaçu,27/06/2013 00:00:00,"4A
                        8M 15D",4A 4M 22D,11A 2M 9D,TRUE
371,Flavio Roberto de Carvalho,Entrancia Intermediária,Vara Criminal da Comarca de São Roque,27/06/2013 00:00:00,"4A
                        8M 15D",3A 8M 12D,10A 6M 18D,TRUE
375,Ricardo Domingos Rinhel,Entrancia Intermediária,Vara Criminal da Comarca de Matão,27/06/2013 00:00:00,"4A
                        8M 15D",1A 2M 29D,9A 7M 13D,TRUE
376,Luiz Fernando Silva Oliveira,Entrancia Intermediária,Vara Criminal da Comarca de Ibitinga,27/06/2013 00:00:00,"4A
                        8M 15D",1A 2M 29D,8A 8M 27D,TRUE
382,Sergio Augusto Duarte Moreira,Entrancia Intermediária,Vara Criminal da Comarca de Cotia,27/06/2013 00:00:00,"4A
                        8M 15D",1A 2M 29D,7A 9M 14D,TRUE
383,Rafael Carvalho de Sá Roriz,Entrancia Intermediária,"Vara do Júri, das Execuções Criminais e da Infância e da Juventude da Comarca de Franco da Rocha",27/06/2013 00:00:00,"4A
                        8M 15D",0A 6M 14D,7A 9M 14D,TRUE
390,Roberta Layaun Chiappeta de Moraes Barros,Entrancia Intermediária,1ª Vara Criminal da Comarca de Atibaia,17/10/2013 00:00:00,"4A
                        4M 25D",4A 8M 12D,11A 2M 9D,TRUE
392,Renata Ferreira dos Santos Carvalho,Entrancia Intermediária,2ª Vara Criminal da Comarca de Ourinhos,17/10/2013 00:00:00,"4A
                        4M 25D",6A 0M 20D,11A 2M 9D,TRUE
394,Sandro Cavalcanti Rollo,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Arujá,17/10/2013 00:00:00,"4A
                        4M 25D",5A 4M 5D,10A 6M 18D,TRUE
400,Heverton Rodrigues Goulart,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Penápolis,17/10/2013 00:00:00,"4A
                        4M 25D",3A 6M 22D,8A 8M 27D,TRUE
417,Marshal Rodrigues Gonçalves,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Santa Bárbara DOeste,20/02/2014 00:00:00,"4A
                        0M 22D",12A 5M 28D,18A 6M 11D,TRUE
425,Eduardo Luiz de Abreu Costa,Entrancia Intermediária,Vara Criminal da Comarca de Olímpia,20/02/2014 00:00:00,"4A
                        0M 22D",2A 6M 16D,8A 8M 27D,TRUE
448,Jorge Luís Galvão,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Jaboticabal,23/10/2014 00:00:00,"3A
                        4M 19D",11A 1M 12D,18A 11M 16D,TRUE
499,Maria Cecilia Faulin dos Santos Reschini,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Matão,30/04/2015 00:00:00,"2A
                        10M 14D",7A 9M 11D,17A 5M 14D,TRUE
507,Ana Lúcia Granziol,Entrancia Intermediária,2ª Vara Criminal da Comarca de Lins,30/04/2015 00:00:00,"2A
                        10M 14D",2A 10M 19D,8A 8M 27D,TRUE
509,Fábio Bernardes de Oliveira Filho,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Caraguatatuba,30/04/2015 00:00:00,"2A
                        10M 14D",3A 1M 1D,8A 8M 27D,TRUE
514,Paulo Gustavo Ferrari,Entrancia Intermediária,Vara das Execuções Criminais da Comarca de Tupã,30/04/2015 00:00:00,"2A
                        10M 14D",1A 10M 3D,5A 5M 10D,TRUE
523,Carolina Hispagnol Lacombe,Entrancia Intermediária,Vara Criminal da Comarca de Itapevi,30/04/2015 00:00:00,"2A
                        10M 14D",1A 2M 10D,5A 0M 17D,TRUE
526,Barbara Syuffi Montes,Entrancia Intermediária,Vara Criminal da Comarca de Votorantim,02/07/2015 00:00:00,"2A
                        8M 12D",3A 0M 21D,10A 6M 18D,TRUE
527,Adriana Barrea,Entrancia Intermediária,Vara Criminal da Comarca de Leme,02/07/2015 00:00:00,"2A
                        8M 12D",2A 0M 5D,8A 8M 27D,TRUE
528,Maria Carolina Marques Caro Quintiliano,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Ribeirão Pires,02/07/2015 00:00:00,"2A
                        8M 12D",1A 8M 15D,8A 8M 27D,TRUE
532,Lucas Eduardo Steinle Camargo,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Araras,02/07/2015 00:00:00,"2A
                        8M 12D",3A 0M 21D,7A 9M 14D,TRUE
544,Fábio Augusto Paci Rocha,Entrancia Intermediária,1ª Vara Criminal da Comarca de Avaré,02/07/2015 00:00:00,"2A
                        8M 12D",0A 4M 20D,3A 5M 1D,TRUE
550,Carlos Henrique Scala de Almeida,Entrancia Intermediária,"Vara do Júri, das Execuções Criminais e da Infância e da Juventude da Comarca de Bragança Paulista",13/08/2015 00:00:00,"2A
                        7M 1D",6A 6M 8D,11A 2M 9D,TRUE
559,Juliana Nobrega Feitosa,Entrancia Intermediária,Vara Criminal da Comarca de Franco da Rocha,13/08/2015 00:00:00,"2A
                        7M 1D",0A 6M 1D,3A 5M 1D,TRUE
563,José Marques de Lacerda,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Cruzeiro,08/10/2015 00:00:00,"2A
                        5M 6D",1A 7M 18D,5A 0M 17D,TRUE
585,Rodrigo Rissi Fernandes,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Sertãozinho,02/06/2016 00:00:00,"1A
                        9M 12D",9A 1M 7D,12A 11M 13D,TRUE
620,Leonardo Lopes Sardinha,Entrancia Intermediária,2ª Vara Criminal da Comarca de Birigui,01/12/2016 00:00:00,"1A
                        3M 13D",3A 11M 18D,8A 8M 27D,TRUE
650,Daniel Otero Pereira da Costa,Entrancia Intermediária,Vara Criminal da Comarca de Lorena,20/04/2017 00:00:00,"0A
                        10M 22D",3A 9M 24D,9A 7M 13D,TRUE
676,Gustavo de Campos Machado,Entrancia Intermediária,Vara Criminal da Comarca Caçapava,03/08/2017 00:00:00,"0A
                        7M 11D",4A 1M 7D,9A 7M 13D,TRUE
679,Júlio César Franceschet,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Ibitinga,03/08/2017 00:00:00,"0A
                        7M 11D",5A 1M 23D,8A 8M 27D,TRUE
680,Paulo Guilherme de Faria,Entrancia Intermediária,Vara do Juizado Especial Cível e Criminal da Comarca de Ubatuba,03/08/2017 00:00:00,"0A
                        7M 11D",2A 5M 22D,5A 5M 10D,TRUE
739,Pedro de Castro e Sousa,Entrancia Intermediária,Vara Criminal da Comarca de Santa Cruz do Rio Pardo,30/11/2017 00:00:00,"0A
                        3M 14D",0A 3M 27D,1A 5M 11D,TRUE
