Delegacia_Orgaos,Delegadotitular_Diretor,TipoTabela
"Assinpol (Assessoria de Inteligência Policial)  Av. Dom Helder Câmara, 2066 Bl. 8A 2ªandar - Benfica",Luiz Lima Ramos Filho,Orgãos
"ATA  Asses. Téc. Adiministrativa  Rua da Relação, 42 - 11º Andar - Centro",Gisele de Lima Pereira,Orgãos
"CCC-LD  Coordenadoria de Combate  a Corrupção e a Lavagem de Dinheiro  Rua da Relação, 42  8º andar Centro",Patricia da Costa de Araujo Alemany,Orgãos
"CCFC - Comissão Controle e Fiscalização de Contratos  Rua da Relação, 42 - 6º andar",Marta Ferreira Dominguez,Orgãos
"Chefia de Gabinete  Rua da Relação, 42 - 12º andar",Antonio Carlos de Carvalho,Orgãos
"Chefia de Polícia  Rua da Relação, 42 - 12º andar",Carlos Augusto Neto Leba,Orgãos
"CIDPOL - Cidade da Polícia  Av. Dom Hélder Câmara, 2066 - Jacarezinho",Rudolph Bruno Anastácio,Orgãos
CINPOL - Coordenadoria de Informação e Inteligência Policiais  Av. Dom Hélder Câmara nº 2066,Luiz Lima Ramos Filho,Orgãos
"COINPOL  Corregedoria Interna  Rua da Relação 42, 4º, 5º e 6º andar",Paulo Passos Silva Filho,Orgãos
Coordenadoria de Fiscalização de Armas e Explosivos,Rafael Willis Fernandez,Orgãos
"DGAF - Departamento Geral de Administração e Finaças  Rua da Relação, 42  3º andar, Centro/RJ",Jessica Oliveira de Almeida,Orgãos
"DGPB - Depart. Geral de Polícia da Baixada  Rua Ailton Costa, s/nº",Sergio Simoes Caldas,Orgãos
"DGPC - Depart. Geral de Polícia da Capital  Rua da Relação, 42 - 11º Andar - Centro",Jose Pedro Costa da Silva,Orgãos
DGPE - Depart. Geral de Polícia Especializada   Av. Dom Hélder Câmara nº 2066,Marcelo Luiz Santos Martins,Orgãos
"DGPI - Depart. Geral de Polícia do Interior  R. Ernani do Amaral Peixoto,577 - 2º Andar - Niterói",Celso Pereira Couto,Orgãos
"DGPTC - Depart. Geral de Pol. Téc. Científica  Rua da Relação, 42 - 11º Andar - Centro",Sandra Maria Pinheiro Ornellas,Orgãos
"DGRH  Departamento Geral de Recursos Humanos  Rua da Relação, 42  Sala 209, Centro/RJ",Sania Burlandi Cardoso,Orgãos
"DGTIT  Av. Dom Helder Câmara, 2066",André Luis Drumond Flores,Orgãos
Museu,Cyro Advincula da Silva,Orgãos
"Policlínica da Polícia Civil  Rua Haddock Lobo, 60-62 - Estácio",Adriane Ribeiro do Rego Ramos,Orgãos
"SECOP  Rua da Relação, 42  2º andar",Maria Thereza Bhering de Araujo,Orgãos
"Subchefia Administrativa  Rua da Relação, 42 - 12º andar",Elizabeth Cayres Loureiro Botelho,Orgãos
"Subchefia Operacional  Rua da Relação, 42 - 12º andar",Fernando A Paes de A Albuquerque,Orgãos
"ICCE  Rua PedroI, 28, Centro - Rio",Sérgio William Silva Miana,Departamento de Polícia Técinca e Científica
"ICCE - Posto Angra dos Reis  Rua Dr. Coutinho, 6",Fábio de Souza Baptista,Departamento de Polícia Técinca e Científica
"ICCE - Posto Barra da Tijuca  Praça Desembargador Araújo Jorge, s/nº. Barra da Tijuca",Maria das Graças Freitas,Departamento de Polícia Técinca e Científica
"ICCE - Posto Brás de Pina  Av. Brás de Pina, 115",Jorge Airton Pereira de Resende,Departamento de Polícia Técinca e Científica
"ICCE - Posto Cabo Frio  Rua Teixeira e Souza, s/nº.",Alberto Rodrigues Ferreira,Departamento de Polícia Técinca e Científica
"ICCE - Posto Nova Iguaçu  Rua Capitão Gaspar Soares, 301",Angelo Silvares Gonçalves,Departamento de Polícia Técinca e Científica
"ICCE - Posto Resende  Rua Rita Ferreira da Rocha, s/nº.",Flávia Gonçalves Medeiros,Departamento de Polícia Técinca e Científica
"ICCE - Posto São Cristóvão  Av Francisco Bicalho, 250",Sérgio William Silva Miana,Departamento de Polícia Técinca e Científica
"ICCE - Posto Teresópolis  Av. Alberto Torres, 531",Marcos Teixeira Correa,Departamento de Polícia Técinca e Científica
"ICCE - Posto Três Rios  Av.Castro  Alves, 120",Yuri Rodrigues de Santa Rosa,Departamento de Polícia Técinca e Científica
"IIFP  Rua Frei Caneca, 505",Márcio Pereira de Carvalho,Departamento de Polícia Técinca e Científica
"IMLAP  Av. Francisco Bicalho, 300, Leopoldina - Rio",Reginaldo Franklin Pereira,Departamento de Polícia Técinca e Científica
"IMLAP - Angra dos Reis  Rua Dr. Coutinho, 6 - Bracuí",Ari Pereira Molinari,Departamento de Polícia Técinca e Científica
IMLAP - Campo Grande,Rudolph Bruno Anastácio,Departamento de Polícia Técinca e Científica
"IMLAP - Duque de Caxias   Rua Hilton Costa, s/nº.",Carlos Alberto Simões,Departamento de Polícia Técinca e Científica
"IMLAP - Petrópolis  Rua Vigário Corrêa, 1345",Mary Laura Garnica Perez,Departamento de Polícia Técinca e Científica
"IMLAP - Três Rios  Rua Fortaleza, 117",Sonia Ladernayder,Departamento de Polícia Técinca e Científica
"IPPGF  Rua Marques de Pombal, 150",Rodrigo Grazinoli Garrido,Departamento de Polícia Técinca e Científica
"PRPTC - Angra dos Reis  Rua Dr. Coutinho, 6",Regina Célia Barreira,Departamento de Polícia Técinca e Científica
"PRPTC  Araruama  Av. Bernardo de Vasconcelos, 755 - Centro - Araruama",Kesley Couto de Castro,Departamento de Polícia Técinca e Científica
"PRPTC  Barra do Piraí   Rodovia Lúcio Meira BR 393, Km 247, nº 47.100 -  Coimbra",Rogério Arving Serra,Departamento de Polícia Técinca e Científica
"PRPTC - Cabo Frio  Rua Teixeira e Souza, s/n",Antonio Feliciano Neto,Departamento de Polícia Técinca e Científica
"PRPTC  Campo Grande  Estrada do Mendanha, 1672",Luiz Carlos Leal Prestes Junior,Departamento de Polícia Técinca e Científica
"PRPTC - Campos dos Goytacazes  Rua Quinze de Novembro, 799 - Caju",Carlos Frederico Ozório Nunes,Departamento de Polícia Técinca e Científica
"PRPTC  Duque de Caxias  Rua Ailton da Costa, s/n - 25 de Agosto",Tomilis Ribeiro da Silva,Departamento de Polícia Técinca e Científica
"PRPTC - Itaboraí  Rua Salvador de Mendonça, 284 - Centro",Enilson Max Marins,Departamento de Polícia Técinca e Científica
"PRPTC - Itaperuna  Rodovia BR 356, KM 3 - Cidade Nova",Frederico Weller dos Santos,Departamento de Polícia Técinca e Científica
"PRPTC - Macaé  Rua Aloisio de Silva Gomes, 100 - Granja dos Cavaleiros",Alexandre Coe Guimarães Rosa,Departamento de Polícia Técinca e Científica
"PRPTC - Niterói  Tv. Cte Garcia D Avila, 51 - Barreto",José Carlos Brasil Junior,Departamento de Polícia Técinca e Científica
"PRPTC - Nova Friburgo  Av. Presidente Costa e Silva, s/nº.",Clauber Leonel DAvila Canastra,Departamento de Polícia Técinca e Científica
"PRPTC - Nova Iguaçu  SPC: Rua Capitão Gaspar Soares, 301 / SML: Rua Edna s/nº, Posse  Nova Iguaçu",Angelo Silvares Gonçalves,Departamento de Polícia Técinca e Científica
"PRPTC - Petrópolis  Rua Vigário Correas, 1345",Mary Laura Garnica Perez,Departamento de Polícia Técinca e Científica
"PRPTC-  Posto Resende  Rua Rita Ferreira da Rocha, s/n",Claudio Godinho Novaes,Departamento de Polícia Técinca e Científica
"PRPTC - Santo Antônio de Pádua  Est, Pádua Monte Alegre, KM2 - Divinéia",Enderson de Souza Ferraz,Departamento de Polícia Técinca e Científica
"PRPTC - São Gonçalo  Rua Cap. Juvenal Figueiredo, 3381 - Tribobó",Alexandre José de Oliveira Pinheiro,Departamento de Polícia Técinca e Científica
"PRPTC - Teresópolis  Av. Alberto Torres, 531",Robson Correa Santos,Departamento de Polícia Técinca e Científica
"PRPTC - Três Rios  Rua Fortaleza, 117 - Vila Isabel",Yuri Rodrigues de Santa Rosa,Departamento de Polícia Técinca e Científica
"PRPTC - Volta Redonda  Av. Professor Paulo Erlei Abrantes, 1325 A, KM 3 - Três Poços",Ivan Raphael Ferreira Jordão,Departamento de Polícia Técinca e Científica
