Ordem,Origem,Nome
168,C,José Wagner de Oliveira Melatto Peixoto
169,C,Cesar Luiz de Almeida
170,C,Claudio Luiz Bueno de Godoy
171,C,José Roberto Furquim Cabella
172,C,Milton Paulo de Carvalho Filho
173,ADV,José Carlos Costa Netto
174,ADV,Eduardo Azuma Nishi
175,C,Carlos Alberto de Campos Mendes Pereira
176,C,Samuel Francisco Mourão Neto
177,C,Edson Luiz de Queiroz
178,C,Roberto Maia Filho
179,C,Walter Rocha Barone
180,C,Marcelo Fortes Barbosa Filho
181,C,Lucila Toledo Pedroso de Barros
182,C,João Batista Amorim de Vilhena Nunes
183,MP,Jonize Sacchi de Oliveira
184,C,Alcides Leopoldo e Silva Júnior
185,ADV,Luiz Guilherme da Costa Wagner Junior
186,C,Marcos Gozzo
187,C,Ramon Mateo Júnior
188,C,Elói Estevão Troly
