nome,nome_regimental,origem,camara,telefone
                José Benedito Franco de Godoi,                J B Franco de Godoi,                Concurso,Grupo Especial Privado - Subseção II                                            ,                    Desembargador                                                                                                             : (11) 3295-5000
                José Benedito Franco de Godoi,                J B Franco de Godoi,                Concurso,Turma Especial Privado - Subseção II                                            ,                    Desembargador                                                                                                             : (11) 3295-5000
                José Benedito Franco de Godoi,                J B Franco de Godoi,                Concurso,23ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                José Roberto Lino Machado,                Lino Machado,                Concurso,Câmara Especial de Falências e Recuperações Judiciais                           ,                    Desembargador                                                                                                             : (11) 2895-4482
                José Roberto Lino Machado,                Lino Machado,                Concurso,30ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4482
                João Luiz Morenghi,                João Morenghi,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                João Luiz Morenghi,                João Morenghi,                Concurso,12ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3274-1110
                Francisco Antonio Casconi,                Francisco Casconi,                Concurso,31ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4498
                Francisco Antonio Casconi,                Francisco Casconi,                Concurso,Órgão Especial                                                                  ,                    membro antiguidade                                                                                                        : (11) 2895-4498
                Fábio de Oliveira Quadros,                Fábio Quadros,                Concurso,Turma Especial Privado - Subseção I                                             ,                    Desembargador                                                                                                             : (11) 3295-5000
                Fábio de Oliveira Quadros,                Fábio Quadros,                Concurso,4ª Câmara de Direito Privado                                                    ,                    Desembargador                                                                                                             : (11) 3295-5000
                Fernando Melo Bueno Filho,                Melo Bueno,                Concurso,35ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4558
                Ademir de Carvalho Benedito,                Ademir Benedito,                Concurso,Cargos de Direção e de Cúpula                                                   ,                    Vice-Presidente                                                                                                           : (11) 3295-5000
                Ademir de Carvalho Benedito,                Ademir Benedito,                Concurso,Câmara Especial                                                                 ,                    Vice-Presidente                                                                                                           : (11) 3295-5000
                Ademir de Carvalho Benedito,                Ademir Benedito,                Concurso,21ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Ademir de Carvalho Benedito,                Ademir Benedito,                Concurso,Vice-Presidência                                                                ,                    Vice-Presidente do Tribunal de Justiça                                                                                    : (11) 3295-5000
                Antonio Carlos Mathias Coltro,                A.C.Mathias Coltro,                Concurso,Turma Especial Privado - Subseção I                                             ,                    Des. (suplente)                                                                                                           : (11) 3295-5000
                Antonio Carlos Mathias Coltro,                A.C.Mathias Coltro,                Concurso,5ª Câmara de Direito Privado                                                    ,                    Desembargador                                                                                                             : (11) 3295-5000
                Fábio Monteiro Gouvêa,                Fábio Gouvêa,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                Fábio Monteiro Gouvêa,                Fábio Gouvêa,                Concurso,10ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3274-1110
                Ruy Coppola,                Ruy Coppola,                Concurso,32ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4508
                Everaldo de Melo Colombi,                Melo Colombi,                Concurso,14ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Gastão Toledo de Campos Mello Filho,                Campos Mello,                Concurso,22ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Gastão Toledo de Campos Mello Filho,                Campos Mello,                Concurso,Conselho Superior de Magistratura                                               ,                    Presidente da Seção de Direito Privado                                                                                    : (11) 3295-5000
                Artur Marques da Silva Filho,                Artur Marques,                Concurso,Grupo Especial Privado - Subseção III                                           ,                    Desembargador                                                                                                             : (11) 2895-4548
                Artur Marques da Silva Filho,                Artur Marques,                Concurso,Câmara Especial de Presidentes                                                  ,                    Presidente da Seção de Direito Privado                                                                                    : (11) 2895-4548
                Artur Marques da Silva Filho,                Artur Marques,                Concurso,35ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4548
                Artur Marques da Silva Filho,                Artur Marques,                Concurso,Órgão Especial                                                                  ,                    Membro eleito                                                                                                             : (11) 2895-4548
                Artur Marques da Silva Filho,                Artur Marques,                Concurso,Conselho Superior de Magistratura                                               ,                    Vice-Presidente                                                                                                           : (11) 2895-4548
                Álvaro Torres Júnior,                Álvaro Torres Júnior,                Concurso,20ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Tarcísio Ferreira Vianna Cotrim,                Vianna Cotrim,                Concurso,26ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4428
                Manuel Matheus Fontes,                Matheus Fontes,                Concurso,Grupo Especial Privado - Subseção II                                            ,                    Desembargador                                                                                                             : (11) 3295-5581
                Manuel Matheus Fontes,                Matheus Fontes,                Concurso,22ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5581
                Enio Santarelli Zuliani,                Enio Zuliani,                Concurso,1ª Câmara Reservada de Direito Empresarial                                      ,                    Desembargador                                                                                                             : (11) 3295-5000
                Enio Santarelli Zuliani,                Enio Zuliani,                Concurso,4ª Câmara de Direito Privado                                                    ,                    Desembargador                                                                                                             : (11) 3295-5000
                Enio Santarelli Zuliani,                Enio Zuliani,                Concurso,1ª Câmara Reservada de Direito Empresarial                                      ,                    Desembargador                                                                                                             : (11) 3295-5000
                Enio Santarelli Zuliani,                Enio Zuliani,                Concurso,4ª Câmara de Direito Privado                                                    ,                    Desembargador                                                                                                             : (11) 3295-5000
                Alberto Gentil de Almeida Pedroso Neto,                Alberto Gentil,                Concurso,17ª Câmara de Direito Público                                                   ,                    Desembargador                                                                                                             : (11) 2899-5000
                Antonio Rigolin,                Antonio Rigolin,                Concurso,Turma Especial Privado - Subseção III                                           ,                    Desembargador (suplente)                                                                                                  : (11) 2895-4496
                Antonio Rigolin,                Antonio Rigolin,                Concurso,31ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4496
                Carlos Eduardo Andrade Sampaio,                Carlos Eduardo Andrade Sampaio,                Concurso,9ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             :
                Antonio de Almeida Sampaio,                Almeida Sampaio,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                Antonio de Almeida Sampaio,                Almeida Sampaio,                Concurso,2ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Celso José Pimentel,                Celso Pimentel,                Concurso,28ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3241-1222
